ConId,Symbol,Etf,SecType,PrimaryExchange,Currency,LocalSymbol,TradingClass,MarketName,LongName,Timezone,ValidExchanges,AggGroup,Sector,Industry,Category,MinTick,PriceMagnifier,MdSizeMultiplier,LastTradeDate,RolloverDate,ContractMonth,RealExpirationDate,Multiplier,LotSize,UnderConId,UnderSymbol,UnderSecType,MarketRuleIds,Strike,Right,Cusip,EvRule,EvMultiplier,Delisted,DateDelisted
3882741,AMP,0,STK,ASX,AUD,AMP,AMP,AMP,"AMP LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,Insurance,"Life/Health Insurance",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000AMP6,"",0.0,0,
4036812,BHP,0,STK,ASX,AUD,BHP,BHP,BHP,"BHP GROUP LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,"Diversified Minerals",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BHP4,"",0.0,0,
4036818,CBA,0,STK,ASX,AUD,CBA,CBA,CBA,"COMMONWEALTH BANK OF AUSTRAL",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,Banks,"Commer Banks Non-US",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000CBA7,"",0.0,0,
4036823,NAB,0,STK,ASX,AUD,NAB,NAB,NAB,"NATIONAL AUSTRALIA BANK LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,Banks,"Commer Banks Non-US",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000NAB4,"",0.0,0,
4036833,WBC,0,STK,ASX,AUD,WBC,WBC,WBC,"WESTPAC BANKING CORPORATION",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,Banks,"Commer Banks Non-US",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000WBC1,"",0.0,0,
4039707,ZIM,0,STK,ASX,AUD,ZIM,ZIM,ZIM,"ZIMPLATS HOLDINGS LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,Platinum,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:GB0061284906,"",0.0,0,
4081863,TLS,0,STK,ASX,AUD,TLS,TLS,TLS,"TELSTRA CORPORATION LIMITED.",Australia/Sydney,"SMART,ASX,ASXCEN",17,Communications,Telecommunications,"Cellular Telecom",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000TLS2,"",0.0,0,
4090681,CTL,0,STK,ASX,AUD,CTL,CTL,CTL,"CENTENNIAL MINING LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,"Diversified Minerals",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000CTL6,"",0.0,0,
4109645,ANZ,0,STK,ASX,AUD,ANZ,ANZ,ANZ,"AUST AND NZ BANKING GROUP",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,Banks,"Commer Banks Non-US",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000ANZ3,"",0.0,0,
4109651,LLC,0,STK,ASX,AUD,LLC,LLC,LLC,"LENDLEASE GROUP",Australia/Sydney,"SMART,ASX,ASXCEN",17,Industrial,Engineering&Construction,Building&Construct-Misc,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000LLC3,"",0.0,0,
4109654,RIO,0,STK,ASX,AUD,RIO,RIO,RIO,"RIO TINTO LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,Metal-Diversified,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000RIO1,"",0.0,0,
4109657,AMC,0,STK,ASX,AUD,AMC,AMC,AMC,"AMCOR LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Industrial,Packaging&Containers,Containers-Paper/Plastic,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000AMC4,"",0.0,0,
4109660,CSR,0,STK,ASX,AUD,CSR,CSR,CSR,"CSR LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Industrial,"Building Materials","Bldg&Construct Prod-Misc",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000CSR5,"",0.0,0,
4109681,ORI,0,STK,ASX,AUD,ORI,ORI,ORI,"ORICA LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Industrial,"Miscellaneous Manufactur",Explosives,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000ORI1,"",0.0,0,
4109684,BLD,0,STK,ASX,AUD,BLD,BLD,BLD,"BORAL LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Industrial,"Building Materials","Bldg Prod-Cement/Aggreg",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BLD2,"",0.0,0,
4109694,STO,0,STK,ASX,AUD,STO,STO,STO,"SANTOS LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Energy,Oil&Gas,"Oil Comp-Explor&Prodtn",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000STO6,"",0.0,0,
4109697,WPL,0,STK,ASX,AUD,WPL,WPL,WPL,"WOODSIDE PETROLEUM LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Energy,Oil&Gas,"Oil Comp-Explor&Prodtn",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000WPL2,"",0.0,0,
4109707,MAY,0,STK,ASX,AUD,MAY,MAY,MAY,"MELBANA ENERGY LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,Energy,Oil&Gas,"Oil Comp-Explor&Prodtn",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000MAY8,"",0.0,0,
4109710,GPT,0,STK,ASX,AUD,GPT,GPT,GPT,"GPT GROUP",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,REITS,REITS-Diversified,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000GPT8,"",0.0,0,
4109712,WOW,0,STK,ASX,AUD,WOW,WOW,WOW,"WOOLWORTHS GROUP LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Food,Food-Retail,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000WOW2,"",0.0,0,
4109727,ANN,0,STK,ASX,AUD,ANN,ANN,ANN,"ANSELL LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,Industrial,"Miscellaneous Manufactur","Rubber/Plastic Products",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000ANN9,"",0.0,0,
4242291,BWP,0,STK,ASX,AUD,BWP,BWP,BWP,"BWP TRUST",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,REITS,REITS-Warehouse/Industr,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BWP3,"",0.0,0,
4354508,ASX,0,STK,ASX,AUD,ASX,ASX,ASX,"ASX LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,"Diversified Finan Serv","Finance-Other Services",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000ASX7,"",0.0,0,
4506298,AGL,0,STK,ASX,AUD,AGL,AGL,AGL,"AGL ENERGY LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,Utilities,Electric,Electric-Integrated,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000AGL7,"",0.0,0,
