ConId,Symbol,Etf,SecType,PrimaryExchange,Currency,LocalSymbol,TradingClass,MarketName,LongName,Timezone,ValidExchanges,AggGroup,Sector,Industry,Category,MinTick,PriceMagnifier,MdSizeMultiplier,LastTradeDate,RolloverDate,ContractMonth,RealExpirationDate,Multiplier,LotSize,UnderConId,UnderSymbol,UnderSecType,MarketRuleIds,Strike,Right,Cusip,EvRule,EvMultiplier,Delisted,DateDelisted
3882741,AMP,0,STK,ASX,AUD,AMP,AMP,AMP,"AMP LIMITED",Australia/Sydney,"14062050,ASB,0,STK,ASX,AUD,ASB,ASB,ASB,"AUSTAL LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Industrial,Shipbuilding,Shipbuilding,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000ASB3,"",0.0,0,
14062067,APG,0,STK,ASX,AUD,APG,APG,APG,"AUSTPAC RESOURCES NL",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,"Diversified Minerals",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000APG8,"",0.0,0,
14062085,AAC,0,STK,ASX,AUD,AAC,AAC,AAC,"AUSTRALIAN AGRICULTURAL CO",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Agriculture,"Agricultural Operations",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000AAC9,"",0.0,0,
14062140,API,0,STK,ASX,AUD,API,API,API,"AUSTRALIAN PHARMA INDUS LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Pharmaceuticals,"Pharmacy Services",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000API4,"",0.0,0,
14062170,AUI,0,STK,ASX,AUD,AUI,AUI,AUI,"AUSTRALIAN UNITED INVESTMENT",Australia/Sydney,"SMART,ASX,ASXCEN",17,"","","",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000AUI4,"",0.0,0,
14062210,AVJ,0,STK,ASX,AUD,AVJ,AVJ,AVJ,"AVJENNINGS LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,"Real Estate","Real Estate Oper/Develop",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000AVJ0,"",0.0,0,
14062221,AXI,0,STK,ASX,AUD,AXI,AXI,AXI,"AXIOM PROPERTIES LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,"Real Estate","Real Estate Oper/Develop",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000AXI8,"",0.0,0,
14062260,BAR,0,STK,ASX,AUD,BAR,BAR,BAR,"BARRA RESOURCES LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,"Gold Mining",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BAR5,"",0.0,0,
14062281,BPT,0,STK,ASX,AUD,BPT,BPT,BPT,"BEACH ENERGY LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,Energy,Oil&Gas,"Oil Comp-Explor&Prodtn",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BPT9,"",0.0,0,
14062320,BYI,0,STK,ASX,AUD,BYI,BYI,BYI,"BEYOND INTERNATIONAL LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Communications,Media,Television,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BYI4,"",0.0,0,
14062340,BNO,0,STK,ASX,AUD,BNO,BNO,BNO,"BIONOMICS LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Healthcare-Services,"Medical Labs&Testing Srv",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BNO5,"",0.0,0,
14062352,BTC,0,STK,ASX,AUD,BTC,BTC,BTC,"BTC HEALTH LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,"Investment Companies","Investment Companies",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BTC7,"",0.0,0,
14062357,BIT,0,STK,ASX,AUD,BIT,BIT,BIT,"BIOTRON LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BIT4,"",0.0,0,
14062367,BSN,0,STK,ASX,AUD,BSN,BSN,BSN,"BISAN LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,"Investment Companies","Investment Companies",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BSN6,"",0.0,0,
14062374,BKL,0,STK,ASX,AUD,BKL,BKL,BKL,"BLACKMORES LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Pharmaceuticals,"Vitamins&Nutrition Prod",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BKL7,"",0.0,0,
14062377,BLZ,0,STK,ASX,AUD,BLZ,BLZ,BLZ,"BLAZE INTERNATIONAL LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Energy,Oil&Gas,"Oil Comp-Explor&Prodtn",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BLZ5,"",0.0,0,
14062397,BOC,0,STK,ASX,AUD,BOC,BOC,BOC,"BOUGAINVILLE COPPER LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,Metal-Copper,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:PG0008526520,"",0.0,0,
14062430,BKW,0,STK,ASX,AUD,BKW,BKW,BKW,"BRICKWORKS LIMITED",Australia/Sydney,"SMART,ASX,ASXCEN",17,Industrial,"Building Materials","Bldg Prod-Cement/Aggreg",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BKW4,"",0.0,0,
14062454,BUG,0,STK,ASX,AUD,BUG,BUG,BUG,"BUDERIM GROUP LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Food,Food-Confectionery,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000BUG6,"",0.0,0,
14062535,CDP,0,STK,ASX,AUD,CDP,CDP,CDP,"CARINDALE PROPERTY TRUST",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,REITS,"REITS-Shopping Centers",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000CDP1,"",0.0,0,
