ConId,Symbol,Etf,SecType,PrimaryExchange,Currency,LocalSymbol,TradingClass,MarketName,LongName,Timezone,ValidExchanges,AggGroup,Sector,Industry,Category,MinTick,PriceMagnifier,MdSizeMultiplier,LastTradeDate,RolloverDate,ContractMonth,RealExpirationDate,Multiplier,LotSize,UnderConId,UnderSymbol,UnderSecType,MarketRuleIds,Strike,Right,Cusip,EvRule,EvMultiplier,Delisted,DateDelisted
12888964,IOF,0,STK,ASX,AUD,IOF,IOF,IOF,"INVESTA OFFICE FUND",Australia/Sydney,"SMART,ASX,ASXCEN",17,Financial,REITS,"REITS-Office Property",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000IOF6,"",0.0,1,2018-12-20
115225847,SWJ,0,STK,ASX,AUD,SWJ,SWJ,SWJ,"STONEWALL RESOURCES LTD",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,"Gold Mining",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000SWJ0,"",0.0,1,2018-12-20
206012277,TTC,0,STK,ASX,AUD,TTC,TTC,TTC,"TRADITIONAL THERAPY CLINICS",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Healthcare-Services,"Medical-Outptnt/Home Med",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU000000TTC9,"",0.0,1,2018-12-20
337997938,NORNB,0,STK,ASX,AUD,NORNB,NORNB,NORNB,"NORWOOD SYSTEMS LTD-NEW SH",Australia/Sydney,"SMART,ASX,ASXCEN",17,Communications,Telecommunications,"Cellular Telecom",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU0000025546,"",0.0,1,2018-12-20
340909236,EGODD,0,STK,ASX,AUD,EGODD,EGODD,EGODD,"EMPIRE OIL & GAS NL",Australia/Sydney,"SMART,ASX,ASXCEN",17,Energy,Oil&Gas,"Oil Comp-Explor&Prodtn",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU0000029241,"",0.0,1,2018-12-20
342694910,OPTNA,0,STK,ASX,AUD,OPTNA,OPTNA,OPTNA,"OPTHEA LTD-EX OPTION DEF",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Healthcare-Services,"Medical Labs&Testing Srv",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU0000029233,"",0.0,1,2018-12-20
344228312,IKWNA,0,STK,ASX,AUD,IKWNA,IKWNA,IKWNA,"IKWEZI MINING LTD-NEW SHARE",Australia/Sydney,"SMART,ASX,ASXCEN",17,Energy,Coal,Coal,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:BMG471001393,"",0.0,1,2018-12-20
344777029,AHZNC,0,STK,ASX,AUD,AHZNC,AHZNC,AHZNC,"ADMEDUS LTD-NEW SHARE",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Pharmaceuticals,"Medical-Whsle Drug Dist",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU0000032161,"",0.0,1,2018-12-20
344988499,MNCNB,0,STK,ASX,AUD,MNCNB,MNCNB,MNCNB,"METMINCO LTD-NEW SHARE",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,"Diversified Minerals",0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU0000031080,"",0.0,1,2018-12-20
345196867,BD1NA,0,STK,ASX,AUD,BD1NA,BD1NA,BD1NA,"BARD1 LIFE SCIENCES LTD-NEW",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU0000030777,"",0.0,1,2018-12-20
345196870,PRXNC,0,STK,ASX,AUD,PRXNC,PRXNC,PRXNC,"PRODIGY GOLD NL-NEW SHARE",Australia/Sydney,"SMART,ASX,ASXCEN",17,"Basic Materials",Mining,Metal-Diversified,0.001,1,1,"",,"","","",,0,"","","614,614,614",0.0,"",ISIN:AU0000030652,"",0.0,1,2018-12-20
